"RecordNumber","Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Xaxis","Yaxis","Zaxis","WorldRegion","Country","LocationText","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages","Notes"
1,"00704","STANDARD","PARC PARQUE","PR","NOT ACCEPTABLE",17.96,-66.22,0.38,-0.87,0.30,"NA","US","Parc Parque, PR","NA-US-PR-PARC PARQUE","false",,,,
2,"00704","STANDARD","PASEO COSTA DEL SUR","PR","NOT ACCEPTABLE",17.96,-66.22,0.38,-0.87,0.30,"NA","US","Paseo Costa Del Sur, PR","NA-US-PR-PASEO COSTA DEL SUR","false",,,,
3,"00704","STANDARD","SECT LANAUSSE","PR","NOT ACCEPTABLE",17.96,-66.22,0.38,-0.87,0.30,"NA","US","Sect Lanausse, PR","NA-US-PR-SECT LANAUSSE","false",,,,
4,"00704","STANDARD","URB EUGENE RICE","PR","NOT ACCEPTABLE",17.96,-66.22,0.38,-0.87,0.30,"NA","US","Urb Eugene Rice, PR","NA-US-PR-URB EUGENE RICE","false",,,,
5,"00704","STANDARD","URB GONZALEZ","PR","NOT ACCEPTABLE",17.96,-66.22,0.38,-0.87,0.30,"NA","US","Urb Gonzalez, PR","NA-US-PR-URB GONZALEZ","false",,,,
6,"00704","STANDARD","URB LA FABRICA","PR","NOT ACCEPTABLE",17.96,-66.22,0.38,-0.87,0.30,"NA","US","Urb La Fabrica, PR","NA-US-PR-URB LA FABRICA","false",,,,
7,"00704","STANDARD","URB MONTE SORIA 2","PR","NOT ACCEPTABLE",17.96,-66.22,0.38,-0.87,0.30,"NA","US","Urb Monte Soria 2, PR","NA-US-PR-URB MONTE SORIA 2","false",,,,
8,"00704","STANDARD","VILLAS DEL COQUI","PR","NOT ACCEPTABLE",17.96,-66.22,0.38,-0.87,0.30,"NA","US","Villas Del Coqui, PR","NA-US-PR-VILLAS DEL COQUI","false",,,,
9,"00705","STANDARD","AIBONITO","PR","PRIMARY",18.14,-66.26,0.38,-0.86,0.31,"NA","US","Aibonito, PR","NA-US-PR-AIBONITO","false",,,,
10,"00705","STANDARD","BDA SAN LUIS","PR","NOT ACCEPTABLE",18.14,-66.26,0.38,-0.86,0.31,"NA","US","Bda San Luis, PR","NA-US-PR-BDA SAN LUIS","false",,,,
11,"00705","STANDARD","BO LLANOS","PR","NOT ACCEPTABLE",18.14,-66.26,0.38,-0.86,0.31,"NA","US","Bo Llanos, PR","NA-US-PR-BO LLANOS","false",,,,
12,"00705","STANDARD","BRISAS DE AIBONITO","PR","NOT ACCEPTABLE",18.14,-66.26,0.38,-0.86,0.31,"NA","US","Brisas De Aibonito, PR","NA-US-PR-BRISAS DE AIBONITO","false",,,,
13,"00705","STANDARD","COLINAS DE SAN FRANCISCO","PR","NOT ACCEPTABLE",18.14,-66.26,0.38,-0.86,0.31,"NA","US","Colinas De San Francisco, PR","NA-US-PR-COLINAS DE SAN FRANCISCO","false",,,,
14,"00705","STANDARD","EST DEL LLANO","PR","NOT ACCEPTABLE",18.14,-66.26,0.38,-0.86,0.31,"NA","US","Est Del Llano, PR","NA-US-PR-EST DEL LLANO","false",,,,
15,"00705","STANDARD","EXT BELLA VISTA","PR","NOT ACCEPTABLE",18.14,-66.26,0.38,-0.86,0.31,"NA","US","Ext Bella Vista, PR","NA-US-PR-EXT BELLA VISTA","false",,,,
16,"00705","STANDARD","EXT SAN LUIS","PR","NOT ACCEPTABLE",18.14,-66.26,0.38,-0.86,0.31,"NA","US","Ext San Luis, PR","NA-US-PR-EXT SAN LUIS","false",,,,
17,"00705","STANDARD","EXT VILLA ROSALES","PR","NOT ACCEPTABLE",18.14,-66.26,0.38,-0.86,0.31,"NA","US","Ext Villa Rosales, PR","NA-US-PR-EXT VILLA ROSALES","false",,,,
18,"00705","STANDARD","REPTO ROBLES","PR","NOT ACCEPTABLE",18.14,-66.26,0.38,-0.86,0.31,"NA","US","Repto Robles, PR","NA-US-PR-REPTO ROBLES","false",,,,
19,"00705","STANDARD","URB BELLA VISTA","PR","NOT ACCEPTABLE",18.14,-66.26,0.38,-0.86,0.31,"NA","US","Urb Bella Vista, PR","NA-US-PR-URB BELLA VISTA","false",,,,
20,"00705","STANDARD","URB BUENA VISTA","PR","NOT ACCEPTABLE",18.14,-66.26,0.38,-0.86,0.31,"NA","US","Urb Buena Vista, PR","NA-US-PR-URB BUENA VISTA","false",,,,
21,"00705","STANDARD","URB GOLDEN VLG IV","PR","NOT ACCEPTABLE",18.14,-66.26,0.38,-0.86,0.31,"NA","US","Urb Golden Vlg Iv, PR","NA-US-PR-URB GOLDEN VLG IV","false",,,,
22,"00705","STANDARD","URB LA PROVIDENCIA","PR","NOT ACCEPTABLE",18.14,-66.26,0.38,-0.86,0.31,"NA","US","Urb La Providencia, PR","NA-US-PR-URB LA PROVIDENCIA","false",,,,
23,"00705","STANDARD","VILLA DE LA ROSA","PR","NOT ACCEPTABLE",18.14,-66.26,0.38,-0.86,0.31,"NA","US","Villa De La Rosa, PR","NA-US-PR-VILLA DE LA ROSA","false",,,,
24,"00705","STANDARD","VILLA ROSALES","PR","NOT ACCEPTABLE",18.14,-66.26,0.38,-0.86,0.31,"NA","US","Villa Rosales, PR","NA-US-PR-VILLA ROSALES","false",,,,
25,"00705","STANDARD","VILLAS DEL COQUI","PR","NOT ACCEPTABLE",18.14,-66.26,0.38,-0.86,0.31,"NA","US","Villas Del Coqui, PR","NA-US-PR-VILLAS DEL COQUI","false",,,,
26,"00610","STANDARD","ANASCO","PR","PRIMARY",18.28,-67.14,0.36,-0.87,0.31,"NA","US","Anasco, PR","NA-US-PR-ANASCO","false",,,,
27,"00610","STANDARD","BRISAS DE ANASCO","PR","NOT ACCEPTABLE",18.28,-67.14,0.36,-0.87,0.31,"NA","US","Brisas De Anasco, PR","NA-US-PR-BRISAS DE ANASCO","false",,,,
28,"00610","STANDARD","EST DE VALLE VERDE","PR","NOT ACCEPTABLE",18.28,-67.14,0.36,-0.87,0.31,"NA","US","Est De Valle Verde, PR","NA-US-PR-EST DE VALLE VERDE","false",,,,
29,"00610","STANDARD","JARD DE ANASCO","PR","NOT ACCEPTABLE",18.28,-67.14,0.36,-0.87,0.31,"NA","US","Jard De Anasco, PR","NA-US-PR-JARD DE ANASCO","false",,,,
30,"00610","STANDARD","PASEO DEL VALLE","PR","NOT ACCEPTABLE",18.28,-67.14,0.36,-0.87,0.31,"NA","US","Paseo Del Valle, PR","NA-US-PR-PASEO DEL VALLE","false",,,,
31,"00610","STANDARD","REPTO DAGUEY","PR","NOT ACCEPTABLE",18.28,-67.14,0.36,-0.87,0.31,"NA","US","Repto Daguey, PR","NA-US-PR-REPTO DAGUEY","false",,,,
32,"00610","STANDARD","URB SAN ANTONIO","PR","NOT ACCEPTABLE",18.28,-67.14,0.36,-0.87,0.31,"NA","US","Urb San Antonio, PR","NA-US-PR-URB SAN ANTONIO","false",,,,
33,"00611","PO BOX","ANGELES","PR","PRIMARY",18.28,-66.79,0.37,-0.87,0.31,"NA","US","Angeles, PR","NA-US-PR-ANGELES","false",,,,"no NWS data, "
34,"00612","STANDARD","ARECIBO","PR","PRIMARY",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Arecibo, PR","NA-US-PR-ARECIBO","false",,,,
35,"00612","STANDARD","ALT DE JUNCOS","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Alt De Juncos, PR","NA-US-PR-ALT DE JUNCOS","false",,,,
36,"00612","STANDARD","ALT DE SAN FELIPE","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Alt De San Felipe, PR","NA-US-PR-ALT DE SAN FELIPE","false",,,,
37,"00612","STANDARD","BDA DUHAMEL","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Bda Duhamel, PR","NA-US-PR-BDA DUHAMEL","false",,,,
38,"00612","STANDARD","BO EL PASAJE","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Bo El Pasaje, PR","NA-US-PR-BO EL PASAJE","false",,,,
39,"00612","STANDARD","BO ISLOTE","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Bo Islote, PR","NA-US-PR-BO ISLOTE","false",,,,
40,"00612","STANDARD","BO ISLOTE II","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Bo Islote Ii, PR","NA-US-PR-BO ISLOTE II","false",,,,
41,"00612","STANDARD","BO JAREALITOS","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Bo Jarealitos, PR","NA-US-PR-BO JAREALITOS","false",,,,
42,"00612","STANDARD","BO OBRERO","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Bo Obrero, PR","NA-US-PR-BO OBRERO","false",,,,
43,"00612","STANDARD","BO SANTANA","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Bo Santana, PR","NA-US-PR-BO SANTANA","false",,,,
44,"00612","STANDARD","COMUNIDAD BUENOS AIRES","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Comunidad Buenos Aires, PR","NA-US-PR-COMUNIDAD BUENOS AIRES","false",,,,
45,"00612","STANDARD","EST DE ARECIBO","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Est De Arecibo, PR","NA-US-PR-EST DE ARECIBO","false",,,,
46,"00612","STANDARD","EST DE BALSEIRO","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Est De Balseiro, PR","NA-US-PR-EST DE BALSEIRO","false",,,,
47,"00612","STANDARD","EXT MARISOL","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Ext Marisol, PR","NA-US-PR-EXT MARISOL","false",,,,
48,"00612","STANDARD","EXT TANAMA","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Ext Tanama, PR","NA-US-PR-EXT TANAMA","false",,,,
49,"00612","STANDARD","EXT VILLA LOS SANTOS I","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Ext Villa Los Santos I, PR","NA-US-PR-EXT VILLA LOS SANTOS I","false",,,,
50,"00612","STANDARD","EXT VILLA LOS SANTOS II","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Ext Villa Los Santos Ii, PR","NA-US-PR-EXT VILLA LOS SANTOS II","false",,,,
51,"00612","STANDARD","HACIENDA TOLEDO","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Hacienda Toledo, PR","NA-US-PR-HACIENDA TOLEDO","false",,,,
52,"00612","STANDARD","JARD DE ARECIBO","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Jard De Arecibo, PR","NA-US-PR-JARD DE ARECIBO","false",,,,
53,"00612","STANDARD","JARD DE SAN RAFAEL","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Jard De San Rafael, PR","NA-US-PR-JARD DE SAN RAFAEL","false",,,,
54,"00612","STANDARD","PARC MATTEY","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Parc Mattey, PR","NA-US-PR-PARC MATTEY","false",,,,
55,"00612","STANDARD","PARC NAVAS","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Parc Navas, PR","NA-US-PR-PARC NAVAS","false",,,,
56,"00612","STANDARD","PARC PEREZ","PR","NOT ACCEPTABLE",18.45,-66.73,0.37,-0.87,0.31,"NA","US","Parc Perez, PR","NA-US-PR-PARC PEREZ","false",,,,
57,"00601","STANDARD","ADJUNTAS","PR","PRIMARY",18.16,-66.72,0.37,-0.87,0.31,"NA","US","Adjuntas, PR","NA-US-PR-ADJUNTAS","false",,,,
58,"00601","STANDARD","COLINAS DEL GIGANTE","PR","NOT ACCEPTABLE",18.16,-66.72,0.37,-0.87,0.31,"NA","US","Colinas Del Gigante, PR","NA-US-PR-COLINAS DEL GIGANTE","false",,,,
59,"00601","STANDARD","JARD DE ADJUNTAS","PR","NOT ACCEPTABLE",18.16,-66.72,0.37,-0.87,0.31,"NA","US","Jard De Adjuntas, PR","NA-US-PR-JARD DE ADJUNTAS","false",,,,
60,"00601","STANDARD","URB SAN JOAQUIN","PR","NOT ACCEPTABLE",18.16,-66.72,0.37,-0.87,0.31,"NA","US","Urb San Joaquin, PR","NA-US-PR-URB SAN JOAQUIN","false",,,,
61,"00631","PO BOX","CASTANER","PR","PRIMARY",18.19,-66.82,0.37,-0.87,0.31,"NA","US","Castaner, PR","NA-US-PR-CASTANER","false",,,,
62,"00631","PO BOX","ADJUNTAS","PR","ACCEPTABLE",18.19,-66.82,0.37,-0.87,0.31,"NA","US","Adjuntas, PR","NA-US-PR-ADJUNTAS","false",,,,
63,"00602","STANDARD","AGUADA","PR","PRIMARY",18.38,-67.18,0.36,-0.87,0.31,"NA","US","Aguada, PR","NA-US-PR-AGUADA","false",,,,
64,"00602","STANDARD","ALTS DE AGUADA","PR","NOT ACCEPTABLE",18.38,-67.18,0.36,-0.87,0.31,"NA","US","Alts De Aguada, PR","NA-US-PR-ALTS DE AGUADA","false",,,,
65,"00602","STANDARD","BO GUANIQUILLA","PR","NOT ACCEPTABLE",18.38,-67.18,0.36,-0.87,0.31,"NA","US","Bo Guaniquilla, PR","NA-US-PR-BO GUANIQUILLA","false",,,,
66,"00602","STANDARD","COMUNIDAD LAS FLORES","PR","NOT ACCEPTABLE",18.38,-67.18,0.36,-0.87,0.31,"NA","US","Comunidad Las Flores, PR","NA-US-PR-COMUNIDAD LAS FLORES","false",,,,
67,"00602","STANDARD","EXT LOS ROBLES","PR","NOT ACCEPTABLE",18.38,-67.18,0.36,-0.87,0.31,"NA","US","Ext Los Robles, PR","NA-US-PR-EXT LOS ROBLES","false",,,,
68,"00602","STANDARD","URB ISABEL LA CATOLICA","PR","NOT ACCEPTABLE",18.38,-67.18,0.36,-0.87,0.31,"NA","US","Urb Isabel La Catolica, PR","NA-US-PR-URB ISABEL LA CATOLICA","false",,,,
69,"00603","STANDARD","AGUADILLA","PR","PRIMARY",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Aguadilla, PR","NA-US-PR-AGUADILLA","false",,,,
70,"00603","STANDARD","RAMEY","PR","ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Ramey, PR","NA-US-PR-RAMEY","false",,,,
71,"00603","STANDARD","BDA CABAN","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Bda Caban, PR","NA-US-PR-BDA CABAN","false",,,,
72,"00603","STANDARD","BDA ESTEVES","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Bda Esteves, PR","NA-US-PR-BDA ESTEVES","false",,,,
73,"00603","STANDARD","BO BORINQUEN","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Bo Borinquen, PR","NA-US-PR-BO BORINQUEN","false",,,,
74,"00603","STANDARD","BO CEIBA BAJA","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Bo Ceiba Baja, PR","NA-US-PR-BO CEIBA BAJA","false",,,,
75,"00603","STANDARD","EXT EL PRADO","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Ext El Prado, PR","NA-US-PR-EXT EL PRADO","false",,,,
76,"00603","STANDARD","EXT MARBELLA","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Ext Marbella, PR","NA-US-PR-EXT MARBELLA","false",,,,
77,"00603","STANDARD","REPTO JIMENEZ","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Repto Jimenez, PR","NA-US-PR-REPTO JIMENEZ","false",,,,
78,"00603","STANDARD","REPTO JUAN AGUIAR","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Repto Juan Aguiar, PR","NA-US-PR-REPTO JUAN AGUIAR","false",,,,
79,"00603","STANDARD","REPTO LOPEZ","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Repto Lopez, PR","NA-US-PR-REPTO LOPEZ","false",,,,
80,"00603","STANDARD","REPTO TRES PALMAS","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Repto Tres Palmas, PR","NA-US-PR-REPTO TRES PALMAS","false",,,,
81,"00603","STANDARD","SECT LAS VILLAS","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Sect Las Villas, PR","NA-US-PR-SECT LAS VILLAS","false",,,,
82,"00603","STANDARD","URB BORINQUEN","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Urb Borinquen, PR","NA-US-PR-URB BORINQUEN","false",,,,
83,"00603","STANDARD","URB EL PRADO","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Urb El Prado, PR","NA-US-PR-URB EL PRADO","false",,,,
84,"00603","STANDARD","URB ESTEVES","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Urb Esteves, PR","NA-US-PR-URB ESTEVES","false",,,,
85,"00603","STANDARD","URB GARCIA","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Urb Garcia, PR","NA-US-PR-URB GARCIA","false",,,,
86,"00603","STANDARD","URB LAS AMERICAS","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Urb Las Americas, PR","NA-US-PR-URB LAS AMERICAS","false",,,,
87,"00603","STANDARD","URB LAS CASITAS COUNTRY CLUB","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Urb Las Casitas Country Club, PR","NA-US-PR-URB LAS CASITAS COUNTRY CLUB","false",,,,
88,"00603","STANDARD","URB MALEZA GDNS","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Urb Maleza Gdns, PR","NA-US-PR-URB MALEZA GDNS","false",,,,
89,"00603","STANDARD","URB MARBELLA","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Urb Marbella, PR","NA-US-PR-URB MARBELLA","false",,,,
90,"00603","STANDARD","URB RAMEY","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Urb Ramey, PR","NA-US-PR-URB RAMEY","false",,,,
91,"00603","STANDARD","URB RUBIANES","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Urb Rubianes, PR","NA-US-PR-URB RUBIANES","false",,,,
92,"00603","STANDARD","URB SAN CARLOS","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Urb San Carlos, PR","NA-US-PR-URB SAN CARLOS","false",,,,
93,"00603","STANDARD","URB SANTA MARTA","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Urb Santa Marta, PR","NA-US-PR-URB SANTA MARTA","false",,,,
94,"00603","STANDARD","URB VICTORIA","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Urb Victoria, PR","NA-US-PR-URB VICTORIA","false",,,,
95,"00603","STANDARD","VILLA ALEGRIA","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Villa Alegria, PR","NA-US-PR-VILLA ALEGRIA","false",,,,
96,"00603","STANDARD","VILLA LINDA","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Villa Linda, PR","NA-US-PR-VILLA LINDA","false",,,,
97,"00603","STANDARD","VILLA LYDIA","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Villa Lydia, PR","NA-US-PR-VILLA LYDIA","false",,,,
98,"00603","STANDARD","VILLA UNIVERSITARIA","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Villa Universitaria, PR","NA-US-PR-VILLA UNIVERSITARIA","false",,,,
99,"00603","STANDARD","VILLAS DE ALMERIA","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Villas De Almeria, PR","NA-US-PR-VILLAS DE ALMERIA","false",,,,
100,"00603","STANDARD","VISTA ALEGRE","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Vista Alegre, PR","NA-US-PR-VISTA ALEGRE","false",,,,
101,"00603","STANDARD","VISTA VERDE","PR","NOT ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Vista Verde, PR","NA-US-PR-VISTA VERDE","false",,,,
102,"00604","PO BOX","AGUADILLA","PR","PRIMARY",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Aguadilla, PR","NA-US-PR-AGUADILLA","false",,,,
103,"00604","PO BOX","RAMEY","PR","ACCEPTABLE",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Ramey, PR","NA-US-PR-RAMEY","false",,,,
104,"00605","PO BOX","AGUADILLA","PR","PRIMARY",18.43,-67.15,0.36,-0.87,0.31,"NA","US","Aguadilla, PR","NA-US-PR-AGUADILLA","false",,,,
105,"00703","STANDARD","AGUAS BUENAS","PR","PRIMARY",18.25,-66.10,0.38,-0.86,0.31,"NA","US","Aguas Buenas, PR","NA-US-PR-AGUAS BUENAS","false",,,,
106,"00703","STANDARD","EST DEL RIO","PR","NOT ACCEPTABLE",18.25,-66.10,0.38,-0.86,0.31,"NA","US","Est Del Rio, PR","NA-US-PR-EST DEL RIO","false",,,,
107,"00703","STANDARD","MANS DE AGUAS BUENAS","PR","NOT ACCEPTABLE",18.25,-66.10,0.38,-0.86,0.31,"NA","US","Mans De Aguas Buenas, PR","NA-US-PR-MANS DE AGUAS BUENAS","false",,,,
108,"00703","STANDARD","URB SAN ANTONIO","PR","NOT ACCEPTABLE",18.25,-66.10,0.38,-0.86,0.31,"NA","US","Urb San Antonio, PR","NA-US-PR-URB SAN ANTONIO","false",,,,
109,"00704","STANDARD","AGUIRRE","PR","PRIMARY",17.96,-66.22,0.38,-0.87,0.30,"NA","US","Aguirre, PR","NA-US-PR-AGUIRRE","false",,,,
110,"00704","STANDARD","EST DE TRINITARIA","PR","NOT ACCEPTABLE",17.96,-66.22,0.38,-0.87,0.30,"NA","US","Est De Trinitaria, PR","NA-US-PR-EST DE TRINITARIA","false",,,,
111,"00704","STANDARD","EXT EL COQUI","PR","NOT ACCEPTABLE",17.96,-66.22,0.38,-0.87,0.30,"NA","US","Ext El Coqui, PR","NA-US-PR-EXT EL COQUI","false",,,,
112,"00704","STANDARD","PARC CABASA","PR","NOT ACCEPTABLE",17.96,-66.22,0.38,-0.87,0.30,"NA","US","Parc Cabasa, PR","NA-US-PR-PARC CABASA","false",,,,
113,"07093","STANDARD","MONITOR","NJ","NOT ACCEPTABLE",40.78,-74.00,0.20,-0.72,0.65,"NA","US","Monitor, NJ","NA-US-NJ-MONITOR","false",26571,42640,1071975636,
114,"07093","STANDARD","TAURUS","NJ","NOT ACCEPTABLE",40.78,-74.00,0.20,-0.72,0.65,"NA","US","Taurus, NJ","NA-US-NJ-TAURUS","false",26571,42640,1071975636,
115,"07675","STANDARD","WESTWOOD","NJ","PRIMARY",40.98,-74.03,0.20,-0.72,0.65,"NA","US","Westwood, NJ","NA-US-NJ-WESTWOOD","false",13245,24083,1089095041,
116,"07675","STANDARD","OLD TAPPAN","NJ","ACCEPTABLE",40.98,-74.03,0.20,-0.72,0.65,"NA","US","Old Tappan, NJ","NA-US-NJ-OLD TAPPAN","false",13245,24083,1089095041,
117,"07675","STANDARD","RIVER VALE","NJ","ACCEPTABLE",40.98,-74.03,0.20,-0.72,0.65,"NA","US","River Vale, NJ","NA-US-NJ-RIVER VALE","false",13245,24083,1089095041,
118,"07675","STANDARD","RIVERVALE","NJ","ACCEPTABLE",40.98,-74.03,0.20,-0.72,0.65,"NA","US","Rivervale, NJ","NA-US-NJ-RIVERVALE","false",13245,24083,1089095041,
119,"07677","STANDARD","WOODCLIFF LAKE","NJ","PRIMARY",41.02,-74.05,0.20,-0.72,0.65,"NA","US","Woodcliff Lake, NJ","NA-US-NJ-WOODCLIFF LAKE","false",2945,5471,325436960,
120,"07677","STANDARD","WESTWOOD","NJ","ACCEPTABLE",41.02,-74.05,0.20,-0.72,0.65,"NA","US","Westwood, NJ","NA-US-NJ-WESTWOOD","false",2945,5471,325436960,
121,"07677","STANDARD","WOODCLIFF LK","NJ","ACCEPTABLE",41.02,-74.05,0.20,-0.72,0.65,"NA","US","Woodcliff Lk, NJ","NA-US-NJ-WOODCLIFF LK","false",2945,5471,325436960,
122,"07885","STANDARD","WHARTON","NJ","PRIMARY",40.89,-74.58,0.20,-0.72,0.65,"NA","US","Wharton, NJ","NA-US-NJ-WHARTON","false",5273,8999,240827990,
123,"07981","STANDARD","WHIPPANY","NJ","PRIMARY",40.82,-74.41,0.20,-0.72,0.65,"NA","US","Whippany, NJ","NA-US-NJ-WHIPPANY","false",4585,8057,292096795,
124,"07999","STANDARD","WHIPPANY","NJ","PRIMARY",40.82,-74.41,0.20,-0.72,0.65,"NA","US","Whippany, NJ","NA-US-NJ-WHIPPANY","false",,,,
125,"08888","PO BOX","WHITEHOUSE","NJ","PRIMARY",40.62,-74.76,0.19,-0.73,0.65,"NA","US","Whitehouse, NJ","NA-US-NJ-WHITEHOUSE","false",,,,
126,"08889","STANDARD","WHITEHOUSE STATION","NJ","PRIMARY",40.60,-74.76,0.19,-0.73,0.65,"NA","US","Whitehouse Station, NJ","NA-US-NJ-WHITEHOUSE STATION","false",4691,8570,401312434,
127,"08889","STANDARD","WHITE HSE STA","NJ","ACCEPTABLE",40.60,-74.76,0.19,-0.73,0.65,"NA","US","White Hse Sta, NJ","NA-US-NJ-WHITE HSE STA","false",4691,8570,401312434,
128,"08889","STANDARD","WHITE HOUSE STATION","NJ","NOT ACCEPTABLE",40.60,-74.76,0.19,-0.73,0.65,"NA","US","White House Station, NJ","NA-US-NJ-WHITE HOUSE STATION","false",4691,8570,401312434,
129,"07095","STANDARD","WOODBRIDGE","NJ","PRIMARY",40.55,-74.28,0.20,-0.73,0.65,"NA","US","Woodbridge, NJ","NA-US-NJ-WOODBRIDGE","false",10018,17272,528315021,
130,"07481","STANDARD","WYCKOFF","NJ","PRIMARY",40.99,-74.16,0.20,-0.72,0.65,"NA","US","Wyckoff, NJ","NA-US-NJ-WYCKOFF","false",8079,15208,896273759,
131,"10451","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,0.21,-0.72,0.65,"NA","US","Bronx, NY","NA-US-NY-BRONX","false",19434,31477,471446942,
132,"10452","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,0.21,-0.72,0.65,"NA","US","Bronx, NY","NA-US-NY-BRONX","false",33517,56277,723508523,
133,"10452","STANDARD","HIGHBRIDGE","NY","NOT ACCEPTABLE",40.84,-73.87,0.21,-0.72,0.65,"NA","US","Highbridge, NY","NA-US-NY-HIGHBRIDGE","false",33517,56277,723508523,
134,"10452","STANDARD","STADIUM","NY","NOT ACCEPTABLE",40.84,-73.87,0.21,-0.72,0.65,"NA","US","Stadium, NY","NA-US-NY-STADIUM","false",33517,56277,723508523,
